run_id,task_id,overall_success,objective_success,recovery_pass,distinct_checks_pass,confidence,verification_required,total_latency_s,llm_latency_s,tool_latency_s,tool_latency_share,tokens_prompt,tokens_completion,tokens_total,tokens_per_second,required_tools_missing,forbidden_tools_used,schema_validation_pass,assertion_pass,expected_error_observed,observed_backend_error_types,task_name,should_fail_gracefully,expected_error_types,expected_required_tools,expected_forbidden_tools,tool_calls_total,tool_overtool_calls,tool_recall,tool_precision,schema_valid_rate_required_calls,arg_assertions_total,arg_assertions_passed,arg_assertion_rate,out_assertions_total,out_assertions_passed,out_assertion_rate,error_events_total,error_events_recovered,error_recovery_rate,recovery_iterations_mean,recovery_time_s_mean
4,2,1,1,1,1,1.0,0,73.4115,52.317,21.0941,0.2873,37210,1209,38419,523.3373,,,1,1,0,,Fine-Tuning Job Submission,0,,dataset_info:1;chronos_finetune:1,,2,0,1.0,1.0,1.0,7,7,1.0,3,3,1.0,0,0,1.0,,
4,3,1,1,1,1,1.0,0,150.2085,138.277,11.9305,0.0794,54168,2122,56290,374.7458,,,1,1,0,,Model Comparison (Fine-tuned vs. Pre-trained),0,,dataset_info:1;model_versions:1;model_details:1;chronos_inference_finetuned:1;chronos_inference_pretrained:1,,5,0,1.0,1.0,1.0,13,13,1.0,8,8,1.0,0,0,1.0,,
4,4,1,1,1,1,1.0,0,43.0932,37.199,5.8934,0.1368,36857,945,37802,877.2142,,,1,1,1,missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset,Error Handling: Missing Dataset (Negative Test with Filename Uncertainty),1,ResourceNotFoundError;DatasetNotFound;missing_dataset,dataset_info:3,chronos_inference_pretrained;chronos_inference_finetuned;chronos_finetune,8,0,1.0,1.0,1.0,0,0,1.0,2,2,1.0,8,0,0.0,,
4,5,1,1,1,1,1.0,0,59.496,42.2137,17.2817,0.2905,37800,977,38777,651.7577,,,1,1,0,invalid_parameter,Semantic Error Recovery: Column Mismatch During Training Submission,0,,chronos_finetune:2,,2,0,1.0,1.0,1.0,4,4,1.0,3,3,1.0,1,1,1.0,1.0,27.5041
5,1,1,1,1,1,1.0,0,79.6621,77.2791,2.3824,0.0299,37141,1135,38276,480.4796,,,1,1,0,,Zero-Shot Inference with Metadata Lookup,0,,dataset_info:1;chronos_inference_pretrained:1,,2,0,1.0,1.0,1.0,7,7,1.0,5,5,1.0,0,0,1.0,,
5,2,1,1,1,1,1.0,0,49.0133,27.6393,21.3735,0.4361,37085,745,37830,771.832,,,1,1,0,,Fine-Tuning Job Submission,0,,dataset_info:1;chronos_finetune:1,,2,0,1.0,1.0,1.0,7,7,1.0,3,3,1.0,0,0,1.0,,
5,3,1,1,1,1,1.0,0,108.7032,98.1934,10.5086,0.0967,54109,2111,56220,517.1881,,,1,1,0,,Model Comparison (Fine-tuned vs. Pre-trained),0,,dataset_info:1;model_versions:1;model_details:1;chronos_inference_finetuned:1;chronos_inference_pretrained:1,,5,0,1.0,1.0,1.0,13,13,1.0,8,8,1.0,0,0,1.0,,
5,4,1,1,1,1,1.0,0,41.2783,34.9901,6.2873,0.1523,37061,924,37985,920.2175,,,1,1,1,missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset,Error Handling: Missing Dataset (Negative Test with Filename Uncertainty),1,ResourceNotFoundError;DatasetNotFound;missing_dataset,dataset_info:3,chronos_inference_pretrained;chronos_inference_finetuned;chronos_finetune,9,0,1.0,1.0,1.0,0,0,1.0,2,2,1.0,9,0,0.0,,
5,5,1,1,1,1,1.0,0,91.9297,64.2354,27.6935,0.3012,37887,1151,39038,424.6505,,,1,1,0,invalid_parameter,Semantic Error Recovery: Column Mismatch During Training Submission,0,,chronos_finetune:2,,2,0,1.0,1.0,1.0,4,4,1.0,3,3,1.0,1,1,1.0,1.0,33.4573
6,1,1,1,1,1,1.0,0,93.8512,90.6792,3.1715,0.0338,37172,1789,38961,415.1358,,,1,1,0,,Zero-Shot Inference with Metadata Lookup,0,,dataset_info:1;chronos_inference_pretrained:1,,2,0,1.0,1.0,1.0,7,7,1.0,5,5,1.0,0,0,1.0,,
6,2,1,1,1,1,1.0,0,94.1565,71.8514,22.3043,0.2369,50958,1706,52664,559.3238,,,1,1,0,invalid_parameter,Fine-Tuning Job Submission,0,,dataset_info:1;chronos_finetune:1,,3,0,1.0,1.0,1.0,7,7,1.0,3,3,1.0,1,1,1.0,1.0,37.988
6,3,1,1,1,1,1.0,0,111.0967,100.5423,10.5534,0.095,54177,2616,56793,511.2031,,,1,1,0,,Model Comparison (Fine-tuned vs. Pre-trained),0,,dataset_info:1;model_versions:1;model_details:1;chronos_inference_finetuned:1;chronos_inference_pretrained:1,,5,0,1.0,1.0,1.0,13,13,1.0,8,8,1.0,0,0,1.0,,
6,4,1,1,1,1,1.0,0,52.4535,44.1655,8.2866,0.158,49777,1026,50803,968.5331,,,1,1,1,missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset,Error Handling: Missing Dataset (Negative Test with Filename Uncertainty),1,ResourceNotFoundError;DatasetNotFound;missing_dataset,dataset_info:3,chronos_inference_pretrained;chronos_inference_finetuned;chronos_finetune,12,0,1.0,1.0,1.0,0,0,1.0,2,2,1.0,12,0,0.0,,
6,5,1,1,1,1,1.0,0,63.1621,42.8812,20.2802,0.3211,38211,1173,39384,623.5381,,,1,1,0,invalid_parameter,Semantic Error Recovery: Column Mismatch During Training Submission,0,,chronos_finetune:2,,2,0,1.0,1.0,1.0,4,4,1.0,3,3,1.0,1,1,1.0,1.0,31.5261
7,1,1,1,1,1,1.0,0,39.8318,37.6918,2.1393,0.0537,36970,1084,38054,955.3682,,,1,1,0,,Zero-Shot Inference with Metadata Lookup,0,,dataset_info:1;chronos_inference_pretrained:1,,2,0,1.0,1.0,1.0,7,7,1.0,5,5,1.0,0,0,1.0,,
7,2,1,1,1,1,1.0,0,66.6224,45.7598,20.8621,0.3131,37110,1121,38231,573.8459,,,1,1,0,,Fine-Tuning Job Submission,0,,dataset_info:1;chronos_finetune:1,,2,0,1.0,1.0,1.0,7,7,1.0,3,3,1.0,0,0,1.0,,
7,3,1,1,1,1,1.0,0,127.8366,115.7252,12.11,0.0947,69490,2156,71646,560.4498,,,1,1,0,,Model Comparison (Fine-tuned vs. Pre-trained),0,,dataset_info:1;model_versions:1;model_details:1;chronos_inference_finetuned:1;chronos_inference_pretrained:1,,5,0,1.0,1.0,1.0,13,13,1.0,8,8,1.0,0,0,1.0,,
7,4,1,1,1,1,1.0,0,37.4119,31.4274,5.9833,0.1599,49269,900,50169,1340.9916,,,1,1,1,missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset;missing_dataset,Error Handling: Missing Dataset (Negative Test with Filename Uncertainty),1,ResourceNotFoundError;DatasetNotFound;missing_dataset,dataset_info:3,chronos_inference_pretrained;chronos_inference_finetuned;chronos_finetune,9,0,1.0,1.0,1.0,0,0,1.0,2,2,1.0,9,0,0.0,,
